string,counts,energy_M,energy_Q,feasible
'101000111111000000,1,0,28.5,infeasible
'001000101111000000,1,0,23.5,infeasible
'100011000010000000,1,0,22.0,infeasible
'101000101000000000,1,0,14.0,infeasible
'111110110011000000,1,0,34.5,infeasible
'101011101000000000,1,0,35.5,infeasible
'100000110101000000,1,0,15.0,infeasible
'111010111101000000,1,0,30.0,infeasible
'110001111001000000,1,0,45.5,infeasible
'110110010001000000,1,0,19.0,infeasible
'111000100101000000,1,0,19.0,infeasible
'111000110000000000,1,0,19.5,infeasible
'000001010101010000,1,1,18.0,infeasible
'100101001100001000,1,1,21.5,infeasible
'110100111000010000,1,1,17.5,infeasible
'001010100010000100,1,1,6.5,infeasible
'110000010011000010,1,1,13.0,infeasible
'101011110011100000,1,1,44.5,infeasible
'010110011111000100,1,1,17.5,infeasible
'011010010011000010,1,1,16.5,infeasible
'000010000000100000,1,1,4.5,infeasible
'101100001001001000,1,1,12.0,infeasible
'100010110001100000,1,1,14.0,infeasible
'100010101100010000,1,1,14.0,infeasible
'000110000000100000,1,1,10.5,infeasible
'001111101011010000,1,1,40.0,infeasible
'000000101001000100,1,1,6.0,infeasible
'111100000011100000,1,1,19.5,infeasible
'110110000001001000,1,1,13.0,infeasible
'111111011110010000,1,1,39.0,infeasible
'110101100001000010,1,1,30.5,infeasible
'100111011101100000,1,1,37.5,infeasible
'011110101101001000,1,1,24.5,infeasible
'110010011011010000,1,1,18.5,infeasible
'111100100110000100,1,1,14.0,infeasible
'011101011110000100,1,1,27.0,infeasible
'111011110101000100,1,1,33.5,infeasible
'000001010111001000,1,1,21.0,infeasible
'011110100010000001,1,1,18.0,infeasible
'001100111011100000,1,1,26.5,infeasible
'111101111101001000,1,1,46.0,infeasible
'111101000100000001,1,1,21.5,infeasible
'110111001011000100,1,1,24.0,infeasible
'110101100111010000,1,1,36.0,infeasible
'111111000001100000,1,1,29.0,infeasible
'000101111000000100,1,1,30.0,infeasible
'001100001000001000,1,1,10.0,infeasible
'011100001101000001,1,1,16.5,infeasible
'011010100101100000,1,1,16.0,infeasible
'110111100011100000,1,1,44.5,infeasible
'111101000001010000,1,1,21.0,infeasible
'100111001111001000,1,1,28.5,infeasible
'111001110101000100,1,1,33.0,infeasible
'101111110011001001,1,2,28.0,infeasible
'110000100000000110,1,2,7.5,infeasible
'000101111100001100,1,2,26.0,infeasible
'010101011000001010,1,2,19.5,infeasible
'100010110001010010,1,2,7.0,infeasible
'011000000101001001,1,2,12.0,infeasible
'011110100110010010,1,2,17.5,infeasible
'111011101100010010,1,2,26.0,infeasible
'000010111011011000,1,2,13.5,infeasible
'101100101110000011,1,2,11.0,infeasible
'111100001001101000,1,2,14.0,infeasible
'101110100001100010,1,2,13.5,infeasible
'011100100110110000,1,2,17.5,infeasible
'011011111010010010,1,2,30.5,infeasible
'111011001001000110,1,2,14.0,infeasible
'010001101001010010,1,2,19.5,infeasible
'010000011101011000,1,2,12.5,infeasible
'010100101000000101,1,2,6.5,infeasible
'110010111110000110,1,2,11.0,infeasible
'100011100010101000,1,2,23.5,infeasible
'000011011010001100,1,2,13.0,infeasible
'001010100010101000,1,2,7.5,infeasible
'111010100011010010,1,2,14.0,infeasible
'010110111000010010,1,2,16.0,infeasible
'011011110001000101,1,2,25.5,infeasible
'110010111001000011,1,2,11.5,infeasible
'010001101000001100,1,2,20.0,infeasible
'010111001010110000,1,2,28.0,infeasible
'111101100100000101,1,2,22.0,infeasible
'110010011000010010,1,2,8.5,infeasible
'101011100101001001,1,2,19.0,infeasible
'000010101001110000,1,2,13.5,infeasible
'011011100000100010,1,2,26.5,infeasible
'011001100000001001,1,2,24.0,infeasible
'100101101100110000,1,2,33.5,infeasible
'001011110011001100,1,2,23.0,infeasible
'001110010100001010,1,2,10.0,infeasible
'001110110001011000,1,2,10.0,infeasible
'101011110001001100,1,2,22.5,infeasible
'111100111011000110,1,2,15.0,infeasible
'101110000001011000,1,2,9.0,infeasible
'110001111001010010,1,2,25.5,infeasible
'110010000111000110,1,2,9.0,infeasible
'100100101100100010,1,2,13.5,infeasible
'110100100100100010,1,2,11.5,infeasible
'011001110010000011,1,2,29.5,infeasible
'001110100110000110,1,2,8.5,infeasible
'110110111101011000,1,2,19.5,infeasible
'011111001011000011,1,2,22.0,infeasible
'111100010100001010,1,2,15.0,infeasible
'001101101000110000,1,2,30.0,infeasible
'000110001101100010,1,2,15.0,infeasible
'001111010001001100,1,2,13.0,infeasible
'111001001010000011,1,2,17.5,infeasible
'100010000101100010,1,2,5.5,infeasible
'010111110010011000,1,2,29.0,infeasible
'001101111100001100,1,2,26.5,infeasible
'101011101100000011,1,2,21.5,infeasible
'000011011000001001,1,2,13.5,infeasible
'111110001110001101,1,3,14.0,infeasible
'101011110010111000,1,3,24.0,infeasible
'001110110001001110,1,3,7.5,infeasible
'010111100111001110,1,3,16.0,infeasible
'010011000011001011,1,3,11.0,infeasible
'100011110001001110,1,3,18.5,infeasible
'110101001111001011,1,3,14.5,infeasible
'001000001101111000,1,3,12.5,infeasible
'001101011010001011,1,3,11.0,infeasible
'100011111001001101,1,3,19.0,infeasible
'011001011110110010,1,3,20.5,infeasible
'100001100101110010,1,3,17.5,infeasible
'111111110000111000,1,3,28.0,infeasible
'000010111001001101,1,3,5.5,infeasible
'100001001101001011,1,3,10.5,infeasible
'011010101101110010,1,3,13.0,infeasible
'111010110001001111,1,4,15.0,infeasible
'110101100111001111,1,4,13.0,infeasible
'011101110110001111,1,4,18.0,infeasible
'111000010001010100,1,2,5.0,feasible
'110011101101010100,1,2,21.0,feasible
'001001010010100001,1,2,17.0,feasible
'001011011100010100,1,2,15.0,feasible
'001010000111100001,1,2,8.0,feasible
'011101111101010100,1,2,29.0,feasible
'101111000010010100,1,2,13.5,feasible
'011001011011010001,1,2,21.0,feasible
'111011110101010100,1,2,24.0,feasible
'011111100011100100,1,2,31.0,feasible
'101001111100010100,1,2,25.0,feasible
'111101110001010100,1,2,25.0,feasible
'100111011101010001,1,2,20.0,feasible
'010101100010010001,1,2,20.5,feasible
'010101001101010100,1,2,14.0,feasible
'111101111101010100,1,2,29.5,feasible
'011000001110010001,1,2,13.5,feasible
'111111001101010001,1,2,21.0,feasible
'101100110101010001,1,2,8.0,feasible
'010001101111010100,1,2,24.0,feasible
'000011110110100001,1,2,29.5,feasible
'000011100010010001,1,2,17.0,feasible
'011110101000011010,1,3,14.5,feasible
'011101101010101100,1,3,20.5,feasible
'100110111010010011,1,3,9.5,feasible
'111100010010100110,1,3,8.5,feasible
'110111010100100110,1,3,17.0,feasible
'101010000100010011,1,3,7.0,feasible
'101011001001010101,1,3,6.0,feasible
'101001110010101001,1,3,23.0,feasible
'010110101010100110,1,3,9.5,feasible
'010100110110101100,1,3,7.0,feasible
'100101010100100110,1,3,14.5,feasible
'001101100101011001,1,3,12.5,feasible
'001111101100101100,1,3,22.5,feasible
'011011000100110100,1,3,9.5,feasible
'010011011010110001,1,3,16.5,feasible
'101010110000110001,1,3,5.5,feasible
'011110101010100101,1,3,8.5,feasible
'010110100011101001,1,3,9.5,feasible
'110011100001010101,1,3,12.5,feasible
'110011100101010011,1,3,14.0,feasible
'000101011010010110,1,3,11.0,feasible
'101000000111011010,1,3,8.5,feasible
'011100101010010011,1,3,10.5,feasible
'111011101101010101,1,3,15.5,feasible
'111010111011011010,1,3,13.0,feasible
'000111110101101100,1,3,24.0,feasible
'010111001101100101,1,3,12.0,feasible
'011011111101101100,1,3,27.5,feasible
'001010100100011010,1,3,5.0,feasible
'000110101000011010,1,3,10.0,feasible
'000111100101010101,1,3,13.5,feasible
'001001101001110100,1,3,19.0,feasible
'100110101010110100,1,3,14.0,feasible
'111110110101101100,1,3,10.0,feasible
'010101000011010110,1,3,10.0,feasible
'111101110011110001,1,3,29.5,feasible
'111110000000110100,1,3,8.5,feasible
'110000111100100110,1,3,8.5,feasible
'010111000010100110,1,3,13.5,feasible
'101100100010010101,1,3,5.0,feasible
'100100111011011100,1,3,9.0,feasible
'101011010100101100,1,3,12.5,feasible
'011111100111010011,1,3,22.0,feasible
'111101110111110100,1,3,28.5,feasible
'101011110010100110,1,3,23.0,feasible
