string,counts,energy_M,feasible
'000000,341,0,infeasible
'100000,330,1,infeasible
'000001,169,1,infeasible
'000100,142,1,infeasible
'010000,133,1,infeasible
'000010,113,1,infeasible
'001000,97,1,infeasible
'101000,152,2,infeasible
'100010,143,2,infeasible
'011000,113,2,infeasible
'110000,110,2,infeasible
'001100,79,2,infeasible
'000011,74,2,infeasible
'001010,66,2,infeasible
'010010,61,2,infeasible
'000101,61,2,infeasible
'000110,51,2,infeasible
'001001,37,2,infeasible
'111000,94,3,infeasible
'110010,85,3,infeasible
'000111,51,3,infeasible
'001110,40,3,infeasible
'001011,34,3,infeasible
'001101,29,3,infeasible
'001111,32,4,infeasible
'100001,164,2,feasible
'010100,90,2,feasible
'100100,84,2,feasible
'010001,66,2,feasible
'110100,147,3,feasible
'100110,103,3,feasible
'101100,96,3,feasible
'101010,95,3,feasible
'100011,88,3,feasible
'010110,79,3,feasible
'011100,70,3,feasible
'011010,47,3,feasible
'110001,45,3,feasible
'101001,43,3,feasible
'010101,42,3,feasible
'100101,39,3,feasible
'011001,37,3,feasible
'010011,36,3,feasible
'111100,86,4,feasible
'101110,79,4,feasible
'111010,78,4,feasible
'110110,71,4,feasible
'110101,56,4,feasible
'100111,52,4,feasible
'110011,48,4,feasible
'101011,48,4,feasible
'011011,37,4,feasible
'101101,32,4,feasible
'011110,29,4,feasible
'010111,28,4,feasible
'011101,28,4,feasible
'111001,22,4,feasible
'110111,62,5,feasible
'101111,55,5,feasible
'111011,47,5,feasible
'111110,44,5,feasible
'111101,35,5,feasible
'011111,23,5,feasible
'111111,32,6,feasible
