run,shot_id,bitstring,probability,sum_x,feasible
12,1,'111010111100110,0.000125,10,False
12,1,'001010001110010,0.000125,6,False
12,1,'001010101010001,0.000125,6,False
12,1,'100111111101110,0.000125,11,False
12,1,'010000010100001,0.000125,4,False
12,1,'001101110100100,0.000125,7,False
12,1,'110010001110101,0.000125,8,False
12,1,'110000101000110,0.000125,6,False
12,1,'010110101101001,0.000125,8,False
12,1,'000100110101000,0.000125,5,False
12,1,'100111111001010,0.000125,9,False
12,1,'000100001000011,0.000125,4,False
12,1,'010110011110100,0.000125,8,False
12,1,'111001011101000,0.000125,8,False
12,1,'011011111000101,0.000125,9,False
12,1,'110011000111000,0.000125,7,False
12,1,'101101111001010,0.000125,9,False
12,1,'001110100011000,0.000125,6,False
12,1,'001111100011101,0.000125,9,False
12,1,'110111100110100,0.000125,9,False
12,1,'100100100001110,0.000125,6,False
12,1,'001101111010010,0.000125,8,False
12,1,'011010110010011,0.000125,8,False
12,1,'100000100110010,0.000125,5,False
12,1,'100011010100000,0.000125,5,False
12,1,'011101000101110,0.000125,8,False
12,1,'000011010001011,0.000125,6,False
12,1,'010100000001011,0.000125,5,False
12,1,'010100110001100,0.000125,6,False
12,1,'100011111111011,0.000125,11,False
12,1,'001110000010011,0.000125,6,False
12,1,'110110110010010,0.000125,8,False
12,1,'100000001001100,0.000125,4,False
12,1,'111011111101100,0.000125,11,False
12,1,'000111011010101,0.000125,8,False
12,1,'111111001101111,0.000125,12,False
12,1,'101010110011110,0.000125,9,False
12,1,'101111110101110,0.000125,11,False
12,1,'100010010111001,0.000125,7,False
12,1,'011110000000000,0.000125,4,False
12,1,'101010011000110,0.000125,7,False
12,1,'101011101110100,0.000125,9,False
12,1,'101001101100010,0.000125,7,False
12,1,'110001010101101,0.000125,8,False
12,1,'110011110101111,0.000125,11,False
12,1,'000101001110011,0.000125,7,False
12,1,'101101011101000,0.000125,8,False
12,1,'101110101001101,0.000125,9,False
12,1,'111111001000110,0.000125,9,False
12,1,'111111111111101,0.000125,14,False
12,1,'000000001011111,0.000125,6,False
12,1,'100011010010010,0.000125,6,False
12,1,'011011100110100,0.000125,8,False
12,1,'110100011000000,0.000125,5,False
12,1,'000111100110000,0.000125,6,False
12,1,'110001011011100,0.000125,8,False
12,1,'001101010101111,0.000125,9,False
12,1,'001001100110001,0.000125,6,False
12,1,'110001100000110,0.000125,6,False
12,1,'001100000010000,0.000125,3,False
12,1,'101110010111001,0.000125,9,False
12,1,'101100110101011,0.000125,9,False
12,1,'100101000000110,0.000125,5,False
12,1,'011000011000100,0.000125,5,False
12,1,'100011110010010,0.000125,7,False
12,1,'010000011000100,0.000125,4,False
12,1,'010110111001100,0.000125,8,False
12,1,'011000000110000,0.000125,4,False
12,1,'001111000000000,0.000125,4,False
12,1,'100010111111010,0.000125,9,False
12,1,'010111100010000,0.000125,6,False
12,1,'010101011010011,0.000125,8,False
